,name,rating,reviews,highly rated for,critically rated for,details,jobs
0,TCS,3.8,72.1k,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Nagpur +334 more,72.1k
1,Accenture,4.0,45.6k,"Company Culture, Job Security, Skill Development / Learning",,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Nagpur +166 more,45.6k
2,Cognizant,3.9,41.1k,Skill Development / Learning,Promotions / Appraisal,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Nagpur +155 more,41.1k
3,Wipro,3.8,38.3k,Job Security,"Promotions / Appraisal, Salary & Benefits",IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Nagpur +270 more,38.3k
4,HDFC Bank,3.9,33.4k,"Job Security, Skill Development / Learning",Promotions / Appraisal,Banking | 1 Lakh+ Employees | Public | 30 years old | Nagpur +1514 more,33.4k
5,ICICI Bank,4.0,33.1k,"Job Security, Skill Development / Learning, Company Culture",,Banking | 1 Lakh+ Employees | Public | 30 years old | Nagpur +1266 more,33.1k
6,Infosys,3.8,31.3k,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Nagpur +169 more,31.3k
7,Capgemini,3.8,29.2k,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Nagpur +124 more,29.2k
8,HCLTech,3.6,28k,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Nagpur +179 more,28k
9,Tech Mahindra,3.7,27.2k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Nagpur +258 more,27.2k
10,Genpact,3.9,25.8k,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal",IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | Nagpur +105 more,25.8k
11,Axis Bank,3.8,21.7k,Job Security,,Banking | 50k-1 Lakh Employees | Public | 31 years old | Nagpur +1288 more,21.7k
12,Teleperformance,3.6,21.6k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Nagpur +175 more,21.6k
13,Concentrix Corporation,3.9,21.5k,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",BPO | 50k-1 Lakh Employees | Public | 41 years old | Nagpur +108 more,21.5k
14,Amazon,4.1,20.5k,"Company Culture, Salary & Benefits, Work Life Balance",,Internet | 1 Lakh+ Employees | Public | 30 years old | Nagpur +435 more,20.5k
15,Reliance Jio,4.0,20.4k,"Job Security, Skill Development / Learning",Promotions / Appraisal,Telecom | 50k-1 Lakh Employees | Public | 17 years old | Nagpur +1164 more,20.4k
16,IBM,4.1,19.5k,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,IT Services & Consulting | 1 Lakh+ Employees | Public | 113 years old | Nagpur +143 more,19.5k
17,Reliance Retail,3.9,18.5k,"Skill Development / Learning, Job Security",Promotions / Appraisal,Retail | 1 Lakh+ Employees | 18 years old | Nagpur +980 more,18.5k
18,Larsen & Toubro Limited,4.0,18.5k,"Job Security, Skill Development / Learning",,Engineering & Construction | 10k-50k Employees | Public | 86 years old | Nagpur +629 more,18.5k
19,HDB Financial Services,4.0,17.9k,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,NBFC | 1 Lakh+ Employees | 17 years old | Nagpur +938 more,17.9k
0,Vodafone Idea,4.2,15.2k,"Company Culture, Work Life Balance, Salary & Benefits",,Telecom | 5k-10k Employees | Public | 6 years old | Mumbai +634 more,15.2k
1,BYJU'S,3.1,14.5k,"Job Security, Work Life Balance, Company Culture",,EdTech | 10k-50k Employees | Indian Unicorn | 13 years old | Bangalore +303 more,14.5k
2,Deloitte,3.9,14.2k,"Job Security, Salary & Benefits, Skill Development / Learning",,Management Consulting | 1 Lakh+ Employees | 179 years old | London +153 more,14.2k
3,Kotak Mahindra Bank,3.8,14k,Job Security,Promotions / Appraisal,Banking | 50k-1 Lakh Employees | Public | 21 years old | Mumbai +559 more,14k
4,Reliance Industries,4.0,13.5k,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,Oil & Gas | 1 Lakh+ Employees | Public | 47 years old | Navi Mumbai +659 more,13.5k
5,Bharti Airtel,4.0,12.1k,"Skill Development / Learning, Job Security, Company Culture",,Telecom | 10k-50k Employees | Public | 29 years old | Gurgaon/Gurugram +646 more,12.1k
6,iEnergizer,4.6,11.7k,"Company Culture, Skill Development / Learning, Job Security",,BPO | 10k-50k Employees | 24 years old | Noida +25 more,11.7k
